"nazwa","wojewodztwo","jednostka","wskaznik"
"Jawor","dolnośląskie","miasto_powiatowe",-17.25
"Bolesławiec","dolnośląskie","miasto_powiatowe",-17.32
"Braniewo","warmińsko-mazurskie","miasto_powiatowe",-17.45
"Ostróda","warmińsko-mazurskie","miasto_powiatowe",-17.48
"Złotów","wielkopolskie","miasto_powiatowe",-17.62
"Sanok","podkarpackie","miasto_powiatowe",-17.72
"Kościerzyna","pomorskie","miasto_powiatowe",-17.76
"Grodzisk Wielkopolski","wielkopolskie","miasto_powiatowe",-17.8
"Chrzanów","małopolskie","miasto_powiatowe",-17.88
"Iława","warmińsko-mazurskie","miasto_powiatowe",-18.09
"Pleszew","wielkopolskie","miasto_powiatowe",-18.1
"Brodnica","kujawsko-pomorskie","miasto_powiatowe",-18.15
"Wąbrzeźno","kujawsko-pomorskie","miasto_powiatowe",-18.28
"Mogilno","kujawsko-pomorskie","miasto_powiatowe",-18.64
"Goleniów","zachodniopomorskie","miasto_powiatowe",-18.65
"Inowrocław","kujawsko-pomorskie","miasto_powiatowe",-18.82
"Ryki","lubelskie","miasto_powiatowe",-18.97
"Leżajsk","podkarpackie","miasto_powiatowe",-19.13
"Choszczno","zachodniopomorskie","miasto_powiatowe",-19.27
"Zduńska Wola","łódzkie","miasto_powiatowe",-19.32
"Pszczyna","śląskie","miasto_powiatowe",-19.35
"Lesko","podkarpackie","miasto_powiatowe",-19.41
"Kazimierza Wielka","świętokrzyskie","miasto_powiatowe",-19.61
"Dębica","podkarpackie","miasto_powiatowe",-19.64
"Opoczno","łódzkie","miasto_powiatowe",-20.26
"Wschowa","lubuskie","miasto_powiatowe",-20.34
"Kartuzy","pomorskie","miasto_powiatowe",-20.48
"Wałcz","zachodniopomorskie","miasto_powiatowe",-20.6
"Legionowo","mazowieckie","miasto_powiatowe",-20.67
"Nowy Dwór Gdański","pomorskie","miasto_powiatowe",-20.71
"Międzychód","wielkopolskie","miasto_powiatowe",-21.28
"Golub-Dobrzyń","kujawsko-pomorskie","miasto_powiatowe",-21.39
"Gryfice","zachodniopomorskie","miasto_powiatowe",-22.14
"Nowy Targ","małopolskie","miasto_powiatowe",-22.15
"Skarżysko-Kamienna","świętokrzyskie","miasto_powiatowe",-23.36
"Gryfino","zachodniopomorskie","miasto_powiatowe",-23.51
"Żyrardów","mazowieckie","miasto_powiatowe",-23.79
"Włodawa","lubelskie","miasto_powiatowe",-24.44
"Pruszcz Gdański","pomorskie","miasto_powiatowe",-25.35
"Słubice","lubuskie","miasto_powiatowe",-25.36
"Nowa Sól","lubuskie","miasto_powiatowe",-25.95
"Kłodzko","dolnośląskie","miasto_powiatowe",-26.62
"Węgrów","mazowieckie","miasto_powiatowe",-27.14
"Sejny","podlaskie","miasto_powiatowe",-29.35
"Sulęcin","lubuskie","miasto_powiatowe",-29.43
"Kamień Pomorski","zachodniopomorskie","miasto_powiatowe",-29.51
"Krotoszyn","wielkopolskie","miasto_powiatowe",-30
"Pisz","warmińsko-mazurskie","miasto_powiatowe",-48.81
"Byczyna","opolskie","miasto_inne",221.72
"Lubycza Królewska","lubelskie","miasto_inne",29.21
"Szprotawa","lubuskie","miasto_inne",28.12
"Chodecz","kujawsko-pomorskie","miasto_inne",26
"Dziwnów","zachodniopomorskie","miasto_inne",17.9
"Bierutów","dolnośląskie","miasto_inne",17.18
"Krzywiń","wielkopolskie","miasto_inne",16.9
"Korsze","warmińsko-mazurskie","miasto_inne",16.71
"Lubraniec","kujawsko-pomorskie","miasto_inne",15.96
"Duszniki-Zdrój","dolnośląskie","miasto_inne",15.2
"Krynki","podlaskie","miasto_inne",13.33
"Frombork","warmińsko-mazurskie","miasto_inne",13.13
"Łazy","śląskie","miasto_inne",12.98
"Żelechów","mazowieckie","miasto_inne",12.37
"Wolbrom","małopolskie","miasto_inne",12.08
"Mirosławiec","zachodniopomorskie","miasto_inne",11.39
"Sułkowice","małopolskie","miasto_inne",11.15
"Iłowa","lubuskie","miasto_inne",10.81
"Osieczna","wielkopolskie","miasto_inne",10.64
"Trzemeszno","wielkopolskie","miasto_inne",8.61
"Baborów","opolskie","miasto_inne",8.53
"Stary Sącz","małopolskie","miasto_inne",8.42
"Nowa Ruda","dolnośląskie","miasto_inne",8.28
"Połaniec","świętokrzyskie","miasto_inne",8.13
"Cybinka","lubuskie","miasto_inne",7.32
"Józefów","lubelskie","miasto_inne",7.28
"Szczawno-Zdrój","dolnośląskie","miasto_inne",7.22
"Raciąż","mazowieckie","miasto_inne",7.18
"Lubawka","dolnośląskie","miasto_inne",6.92
"Czempiń","wielkopolskie","miasto_inne",6.7
"Kostrzyn","wielkopolskie","miasto_inne",5.91
"Bystrzyca Kłodzka","dolnośląskie","miasto_inne",5.9
"Opalenica","wielkopolskie","miasto_inne",5.85
"Kłecko","wielkopolskie","miasto_inne",5.83
"Radzymin","mazowieckie","miasto_inne",5.77
"Nowe Skalmierzyce","wielkopolskie","miasto_inne",5.38
"Prusice","dolnośląskie","miasto_inne",5.19
"Górowo Iławeckie","warmińsko-mazurskie","miasto_inne",5.18
"Kazimierz Dolny","lubelskie","miasto_inne",5.14
"Siewierz","śląskie","miasto_inne",5.11
"Niepołomice","małopolskie","miasto_inne",5
"Śmigiel","wielkopolskie","miasto_inne",4.72
"Stryków","łódzkie","miasto_inne",4.61
"Dolsk","wielkopolskie","miasto_inne",4.58
"Sompolno","wielkopolskie","miasto_inne",4.29
"Gniew","pomorskie","miasto_inne",4.28
"Izbica Kujawska","kujawsko-pomorskie","miasto_inne",4.18
"Żarów","dolnośląskie","miasto_inne",4.14
"Frampol","lubelskie","miasto_inne",4.1
"Sępopol","warmińsko-mazurskie","miasto_inne",3.87
"Ustroń","śląskie","miasto_inne",3.65
"Sławków","śląskie","miasto_inne",3.59
"Buk","wielkopolskie","miasto_inne",3.38
"Miłomłyn","warmińsko-mazurskie","miasto_inne",3.24
"Twardogóra","dolnośląskie","miasto_inne",3.18
"Radłów","małopolskie","miasto_inne",2.86
"Pieniężno","warmińsko-mazurskie","miasto_inne",2.35
"Wojkowice","śląskie","miasto_inne",2.03
"Skarszewy","pomorskie","miasto_inne",1.75
"Tarczyn","mazowieckie","miasto_inne",1.48
"Boguszów-Gorce","dolnośląskie","miasto_inne",1.47
"Głogów Małopolski","podkarpackie","miasto_inne",1.44
"Kobylin","wielkopolskie","miasto_inne",1.38
"Lubniewice","lubuskie","miasto_inne",1.21
"Pyskowice","śląskie","miasto_inne",1.21
"Dobrzany","zachodniopomorskie","miasto_inne",1.17
"Rzgów","łódzkie","miasto_inne",1.14
"Pieńsk","dolnośląskie","miasto_inne",1.06
"Łaziska Górne","śląskie","miasto_inne",0.9
"Modliborzyce","lubelskie","miasto_inne",0.88
"Knurów","śląskie","miasto_inne",0.81
"Pilica","śląskie","miasto_inne",0.68
"Bardo","dolnośląskie","miasto_inne",0.63
"Uniejów","łódzkie","miasto_inne",0.62
"Dynów","podkarpackie","miasto_inne",0.55
"Olsztynek","warmińsko-mazurskie","miasto_inne",0.34
"Sianów","zachodniopomorskie","miasto_inne",0.31
"Książ Wielkopolski","wielkopolskie","miasto_inne",0.3
"Olszyna","dolnośląskie","miasto_inne",0.13
"Krynica Morska","pomorskie","miasto_inne",0
"Ożarów","świętokrzyskie","miasto_inne",0
"Działoszyce","świętokrzyskie","miasto_inne",0
"Pogorzela","wielkopolskie","miasto_inne",0
"Stepnica","zachodniopomorskie","miasto_inne",0
"Nowe Warpno","zachodniopomorskie","miasto_inne",0
"Kosów Lacki","mazowieckie","miasto_inne",-0.05
"Żychlin","łódzkie","miasto_inne",-0.15
"Pruchnik","podkarpackie","miasto_inne",-0.18
"Nowogród Bobrzański","lubuskie","miasto_inne",-0.42
"Mirsk","dolnośląskie","miasto_inne",-0.5
"Marki","mazowieckie","miasto_inne",-0.54
"Zdzieszowice","opolskie","miasto_inne",-0.56
"Dobrzyń nad Wisłą","kujawsko-pomorskie","miasto_inne",-0.63
"Sędziszów","świętokrzyskie","miasto_inne",-0.81
"Dąbrowa Białostocka","podlaskie","miasto_inne",-0.84
"Różan","mazowieckie","miasto_inne",-0.87
"Ulanów","podkarpackie","miasto_inne",-0.9
"Złoczew","łódzkie","miasto_inne",-1.03
"Głowno","łódzkie","miasto_inne",-1.1
"Kleczew","wielkopolskie","miasto_inne",-1.11
"Wleń","dolnośląskie","miasto_inne",-1.12
"Grodków","opolskie","miasto_inne",-1.26
"Rymanów","podkarpackie","miasto_inne",-1.27
"Kańczuga","podkarpackie","miasto_inne",-1.28
"Knyszyn","podlaskie","miasto_inne",-1.33
"Świebodzice","dolnośląskie","miasto_inne",-1.34
"Toszek","śląskie","miasto_inne",-1.41
"Łomianki","mazowieckie","miasto_inne",-1.49
"Lubień Kujawski","kujawsko-pomorskie","miasto_inne",-1.56
"Aleksandrów Łódzki","łódzkie","miasto_inne",-1.56
"Błonie","mazowieckie","miasto_inne",-1.69
"Trzcińsko-Zdrój","zachodniopomorskie","miasto_inne",-1.75
"Dobra","wielkopolskie","miasto_inne",-1.8
"Radlin","śląskie","miasto_inne",-1.82
"Wysoka","wielkopolskie","miasto_inne",-1.82
"Karpacz","dolnośląskie","miasto_inne",-1.83
"Czyżew","podlaskie","miasto_inne",-1.99
"Obrzycko","wielkopolskie","miasto_inne",-2.01
"Wyszogród","mazowieckie","miasto_inne",-2.03
"Ostrów Lubelski","lubelskie","miasto_inne",-2.06
"Jastrowie","wielkopolskie","miasto_inne",-2.12
"Szczawnica","małopolskie","miasto_inne",-2.52
"Iłża","mazowieckie","miasto_inne",-2.52
"Mieszkowice","zachodniopomorskie","miasto_inne",-2.55
"Miasteczko Śląskie","śląskie","miasto_inne",-2.62
"Trzcianka","wielkopolskie","miasto_inne",-2.63
"Lubsko","lubuskie","miasto_inne",-2.65
"Piława Górna","dolnośląskie","miasto_inne",-2.69
"Człopa","zachodniopomorskie","miasto_inne",-2.72
"Zalewo","warmińsko-mazurskie","miasto_inne",-2.73
"Czeladź","śląskie","miasto_inne",-2.9
"Tuczno","zachodniopomorskie","miasto_inne",-2.9
"Łęknica","lubuskie","miasto_inne",-2.91
"Zaklików","podkarpackie","miasto_inne",-2.94
"Urzędów","lubelskie","miasto_inne",-2.96
"Nasielsk","mazowieckie","miasto_inne",-3.11
"Pszów","śląskie","miasto_inne",-3.23
"Ścinawa","dolnośląskie","miasto_inne",-3.27
"Boguchwała","podkarpackie","miasto_inne",-3.28
"Płoty","zachodniopomorskie","miasto_inne",-3.28
"Resko","zachodniopomorskie","miasto_inne",-3.3
"Siedliszcze","lubelskie","miasto_inne",-3.31
"Ślesin","wielkopolskie","miasto_inne",-3.35
"Maków Podhalański","małopolskie","miasto_inne",-3.48
"Raszków","wielkopolskie","miasto_inne",-3.5
"Brwinów","mazowieckie","miasto_inne",-3.6
"Konstancin-Jeziorna","mazowieckie","miasto_inne",-3.61
"Iwonicz-Zdrój","podkarpackie","miasto_inne",-3.61
"Krośniewice","łódzkie","miasto_inne",-3.65
"Jaworzyna Śląska","dolnośląskie","miasto_inne",-3.68
"Głogówek","opolskie","miasto_inne",-3.69
"Chocz","wielkopolskie","miasto_inne",-3.69
"Młynary","warmińsko-mazurskie","miasto_inne",-3.72
"Reszel","warmińsko-mazurskie","miasto_inne",-3.74
"Kobyłka","mazowieckie","miasto_inne",-3.82
"Wyśmierzyce","mazowieckie","miasto_inne",-3.94
"Barcin","kujawsko-pomorskie","miasto_inne",-3.96
"Stęszew","wielkopolskie","miasto_inne",-3.98
"Dukla","podkarpackie","miasto_inne",-4.03
"Mieroszów","dolnośląskie","miasto_inne",-4.08
"Kąty Wrocławskie","dolnośląskie","miasto_inne",-4.08
"Bieruń","śląskie","miasto_inne",-4.09
"Orneta","warmińsko-mazurskie","miasto_inne",-4.11
"Ogrodzieniec","śląskie","miasto_inne",-4.12
"Prochowice","dolnośląskie","miasto_inne",-4.13
"Kruszwica","kujawsko-pomorskie","miasto_inne",-4.25
"Cieszanów","podkarpackie","miasto_inne",-4.27
"Czarna Woda","pomorskie","miasto_inne",-4.34
"Rejowiec Fabryczny","lubelskie","miasto_inne",-4.38
"Prószków","opolskie","miasto_inne",-4.53
"Sobótka","dolnośląskie","miasto_inne",-4.64
"Janikowo","kujawsko-pomorskie","miasto_inne",-4.65
"Skępe","kujawsko-pomorskie","miasto_inne",-4.67
"Złoty Stok","dolnośląskie","miasto_inne",-4.68
"Piastów","mazowieckie","miasto_inne",-4.7
"Nowa Sarzyna","podkarpackie","miasto_inne",-4.7
"Koluszki","łódzkie","miasto_inne",-4.73
"Gogolin","opolskie","miasto_inne",-4.73
"Bodzentyn","świętokrzyskie","miasto_inne",-4.74
"Kożuchów","lubuskie","miasto_inne",-4.8
"Wyrzysk","wielkopolskie","miasto_inne",-4.83
"Brzeg Dolny","dolnośląskie","miasto_inne",-4.96
"Andrychów","małopolskie","miasto_inne",-5.02
"Szczuczyn","podlaskie","miasto_inne",-5.02
"Miłakowo","warmińsko-mazurskie","miasto_inne",-5.02
"Sędziszów Małopolski","podkarpackie","miasto_inne",-5.07
"Barwice","zachodniopomorskie","miasto_inne",-5.07
"Koprzywnica","świętokrzyskie","miasto_inne",-5.12
"Serock","mazowieckie","miasto_inne",-5.16
"Bogatynia","dolnośląskie","miasto_inne",-5.35
"Skoki","wielkopolskie","miasto_inne",-5.41
"Pakość","kujawsko-pomorskie","miasto_inne",-5.55
"Nowy Staw","pomorskie","miasto_inne",-5.64
"Tykocin","podlaskie","miasto_inne",-5.65
"Debrzno","pomorskie","miasto_inne",-5.69
"Praszka","opolskie","miasto_inne",-5.71
"Lubomierz","dolnośląskie","miasto_inne",-5.73
"Radków","dolnośląskie","miasto_inne",-5.83
"Kleszczele","podlaskie","miasto_inne",-5.9
"Zbąszyń","wielkopolskie","miasto_inne",-5.94
"Krajenka","wielkopolskie","miasto_inne",-5.94
"Ciechanowiec","podlaskie","miasto_inne",-6
"Leśnica","opolskie","miasto_inne",-6.05
"Warta","łódzkie","miasto_inne",-6.1
"Murowana Goślina","wielkopolskie","miasto_inne",-6.1
"Koziegłowy","śląskie","miasto_inne",-6.12
"Bytom Odrzański","lubuskie","miasto_inne",-6.33
"Łasin","kujawsko-pomorskie","miasto_inne",-6.34
"Bełżyce","lubelskie","miasto_inne",-6.4
"Węgliniec","dolnośląskie","miasto_inne",-6.42
"Prabuty","pomorskie","miasto_inne",-6.64
"Radomyśl Wielki","podkarpackie","miasto_inne",-6.67
"Jedwabne","podlaskie","miasto_inne",-6.69
"Głuchołazy","opolskie","miasto_inne",-6.73
"Łaskarzew","mazowieckie","miasto_inne",-6.86
"Sława","lubuskie","miasto_inne",-6.87
"Jutrosin","wielkopolskie","miasto_inne",-6.87
"Borne Sulinowo","zachodniopomorskie","miasto_inne",-6.9
"Zagórów","wielkopolskie","miasto_inne",-6.93
"Polanów","zachodniopomorskie","miasto_inne",-6.94
"Ujazd","opolskie","miasto_inne",-6.95
"Niemcza","dolnośląskie","miasto_inne",-7.01
"Lewin Brzeski","opolskie","miasto_inne",-7.09
"Ćmielów","świętokrzyskie","miasto_inne",-7.1
"Strumień","śląskie","miasto_inne",-7.18
"Chojnów","dolnośląskie","miasto_inne",-7.19
"Lubawa","warmińsko-mazurskie","miasto_inne",-7.22
"Nieszawa","kujawsko-pomorskie","miasto_inne",-7.29
"Mosina","wielkopolskie","miasto_inne",-7.33
"Sulejówek","mazowieckie","miasto_inne",-7.34
"Swarzędz","wielkopolskie","miasto_inne",-7.34
"Pieszyce","dolnośląskie","miasto_inne",-7.35
"Zwierzyniec","lubelskie","miasto_inne",-7.36
"Biała Piska","warmińsko-mazurskie","miasto_inne",-7.4
"Miastko","pomorskie","miasto_inne",-7.42
"Mielno","zachodniopomorskie","miasto_inne",-7.44
"Jabłonowo Pomorskie","kujawsko-pomorskie","miasto_inne",-7.46
"Paczków","opolskie","miasto_inne",-7.46
"Mikstat","wielkopolskie","miasto_inne",-7.51
"Władysławowo","pomorskie","miasto_inne",-7.54
"Żarki","śląskie","miasto_inne",-7.56
"Okonek","wielkopolskie","miasto_inne",-7.56
"Kamieńsk","łódzkie","miasto_inne",-7.58
"Wołczyn","opolskie","miasto_inne",-7.59
"Myszyniec","mazowieckie","miasto_inne",-7.7
"Kłodawa","wielkopolskie","miasto_inne",-7.72
"Zabłudów","podlaskie","miasto_inne",-7.74
"Łabiszyn","kujawsko-pomorskie","miasto_inne",-7.82
"Borek Wielkopolski","wielkopolskie","miasto_inne",-7.85
"Piotrków Kujawski","kujawsko-pomorskie","miasto_inne",-7.88
"Dobrodzień","opolskie","miasto_inne",-7.89
"Sieniawa","podkarpackie","miasto_inne",-7.9
"Świeradów-Zdrój","dolnośląskie","miasto_inne",-7.94
"Lidzbark","warmińsko-mazurskie","miasto_inne",-7.96
"Żerków","wielkopolskie","miasto_inne",-8
"Stoczek Łukowski","lubelskie","miasto_inne",-8.05
"Ujście","wielkopolskie","miasto_inne",-8.06
"Kuźnia Raciborska","śląskie","miasto_inne",-8.07
"Radymno","podkarpackie","miasto_inne",-8.14
"Cedynia","zachodniopomorskie","miasto_inne",-8.15
"Bobowa","małopolskie","miasto_inne",-8.16
"Ciechocinek","kujawsko-pomorskie","miasto_inne",-8.23
"Opatówek","wielkopolskie","miasto_inne",-8.29
"Szubin","kujawsko-pomorskie","miasto_inne",-8.31
"Dobre Miasto","warmińsko-mazurskie","miasto_inne",-8.32
"Dęblin","lubelskie","miasto_inne",-8.33
"Gryfów Śląski","dolnośląskie","miasto_inne",-8.34
"Tychowo","zachodniopomorskie","miasto_inne",-8.35
"Pilzno","podkarpackie","miasto_inne",-8.36
"Chocianów","dolnośląskie","miasto_inne",-8.39
"Sośnicowice","śląskie","miasto_inne",-8.4
"Kęty","małopolskie","miasto_inne",-8.41
"Lwówek","wielkopolskie","miasto_inne",-8.45
"Jastarnia","pomorskie","miasto_inne",-8.46
"Rabka-Zdrój","małopolskie","miasto_inne",-8.53
"Wasilków","podlaskie","miasto_inne",-8.54
"Ińsko","zachodniopomorskie","miasto_inne",-8.58
"Nowe Miasto nad Pilicą","mazowieckie","miasto_inne",-8.68
"Barczewo","warmińsko-mazurskie","miasto_inne",-8.71
"Nowe Miasteczko","lubuskie","miasto_inne",-8.72
"Rydzyna","wielkopolskie","miasto_inne",-8.78
"Leśna","dolnośląskie","miasto_inne",-8.79
"Nowe","kujawsko-pomorskie","miasto_inne",-8.8
"Dzierzgoń","pomorskie","miasto_inne",-8.8
"Międzybórz","dolnośląskie","miasto_inne",-8.86
"Susz","warmińsko-mazurskie","miasto_inne",-8.89
"Kolonowskie","opolskie","miasto_inne",-8.95
"Skawina","małopolskie","miasto_inne",-8.96
"Drezdenko","lubuskie","miasto_inne",-8.97
"Czerwionka-Leszczyny","śląskie","miasto_inne",-8.97
"Odolanów","wielkopolskie","miasto_inne",-9.01
"Kamień Krajeński","kujawsko-pomorskie","miasto_inne",-9.02
"Chmielnik","świętokrzyskie","miasto_inne",-9.11
"Szamocin","wielkopolskie","miasto_inne",-9.11
"Przedecz","wielkopolskie","miasto_inne",-9.15
"Piechowice","dolnośląskie","miasto_inne",-9.16
"Nałęczów","lubelskie","miasto_inne",-9.23
"Biała Rawska","łódzkie","miasto_inne",-9.23
"Bojanowo","wielkopolskie","miasto_inne",-9.25
"Moryń","zachodniopomorskie","miasto_inne",-9.32
"Wojcieszów","dolnośląskie","miasto_inne",-9.34
"Golina","wielkopolskie","miasto_inne",-9.36
"Głuszyca","dolnośląskie","miasto_inne",-9.47
"Przecław","podkarpackie","miasto_inne",-9.47
"Kołaczyce","podkarpackie","miasto_inne",-9.53
"Ożarów Mazowiecki","mazowieckie","miasto_inne",-9.54
"Radzionków","śląskie","miasto_inne",-9.55
"Biały Bór","zachodniopomorskie","miasto_inne",-9.63
"Podkowa Leśna","mazowieckie","miasto_inne",-9.66
"Rydułtowy","śląskie","miasto_inne",-9.76
"Krzeszowice","małopolskie","miasto_inne",-9.78
"Rudnik nad Sanem","podkarpackie","miasto_inne",-9.8
"Czechowice-Dziedzice","śląskie","miasto_inne",-9.82
"Szepietowo","podlaskie","miasto_inne",-9.87
"Krasnobród","lubelskie","miasto_inne",-9.89
"Tuszyn","łódzkie","miasto_inne",-9.91
"Szczebrzeszyn","lubelskie","miasto_inne",-9.98
"Lądek-Zdrój","dolnośląskie","miasto_inne",-10.05
"Słomniki","małopolskie","miasto_inne",-10.07
"Małogoszcz","świętokrzyskie","miasto_inne",-10.12
"Strzelno","kujawsko-pomorskie","miasto_inne",-10.18
"Szadek","łódzkie","miasto_inne",-10.21
"Poniatowa","lubelskie","miasto_inne",-10.23
"Drobin","mazowieckie","miasto_inne",-10.23
"Czersk","pomorskie","miasto_inne",-10.24
"Górzno","kujawsko-pomorskie","miasto_inne",-10.26
"Wisła","śląskie","miasto_inne",-10.26
"Krzyż Wielkopolski","wielkopolskie","miasto_inne",-10.26
"Połczyn-Zdrój","zachodniopomorskie","miasto_inne",-10.28
"Poniec","wielkopolskie","miasto_inne",-10.29
"Szczucin","małopolskie","miasto_inne",-10.37
"Golczewo","zachodniopomorskie","miasto_inne",-10.42
"Bobolice","zachodniopomorskie","miasto_inne",-10.42
"Orzesze","śląskie","miasto_inne",-10.45
"Wąsosz","dolnośląskie","miasto_inne",-10.5
"Supraśl","podlaskie","miasto_inne",-10.51
"Świątniki Górne","małopolskie","miasto_inne",-10.59
"Zawadzkie","opolskie","miasto_inne",-10.59
"Ostroróg","wielkopolskie","miasto_inne",-10.6
"Lipsk","podlaskie","miasto_inne",-10.61
"Libiąż","małopolskie","miasto_inne",-10.66
"Rzepin","lubuskie","miasto_inne",-10.69
"Gościno","zachodniopomorskie","miasto_inne",-10.69
"Gozdnica","lubuskie","miasto_inne",-10.71
"Drzewica","łódzkie","miasto_inne",-10.71
"Błaszki","łódzkie","miasto_inne",-10.73
"Zduny","wielkopolskie","miasto_inne",-10.75
"Mordy","mazowieckie","miasto_inne",-10.79
"Łapy","podlaskie","miasto_inne",-10.8
"Biała","opolskie","miasto_inne",-10.85
"Tyczyn","podkarpackie","miasto_inne",-10.88
"Sulejów","łódzkie","miasto_inne",-10.89
"Jordanów","małopolskie","miasto_inne",-10.89
"Łobżenica","wielkopolskie","miasto_inne",-10.96
"Brańsk","podlaskie","miasto_inne",-11.02
"Jeziorany","warmińsko-mazurskie","miasto_inne",-11.22
"Tuliszków","wielkopolskie","miasto_inne",-11.22
"Dobra","zachodniopomorskie","miasto_inne",-11.24
"Terespol","lubelskie","miasto_inne",-11.25
"Krzanowice","śląskie","miasto_inne",-11.27
"Gorzów Śląski","opolskie","miasto_inne",-11.4
"Wolin","zachodniopomorskie","miasto_inne",-11.49
"Kock","lubelskie","miasto_inne",-11.51
"Pyzdry","wielkopolskie","miasto_inne",-11.59
"Goniądz","podlaskie","miasto_inne",-11.62
"Bielawa","dolnośląskie","miasto_inne",-11.71
"Brzeszcze","małopolskie","miasto_inne",-11.75
"Skwierzyna","lubuskie","miasto_inne",-11.79
"Kępice","pomorskie","miasto_inne",-11.85
"Kunów","świętokrzyskie","miasto_inne",-11.91
"Czchów","małopolskie","miasto_inne",-11.93
"Bychawa","lubelskie","miasto_inne",-11.94
"Rogoźno","wielkopolskie","miasto_inne",-11.94
"Wilamowice","śląskie","miasto_inne",-11.95
"Reda","pomorskie","miasto_inne",-11.99
"Janowiec Wielkopolski","kujawsko-pomorskie","miasto_inne",-12.01
"Świerzawa","dolnośląskie","miasto_inne",-12.03
"Pelplin","pomorskie","miasto_inne",-12.04
"Babimost","lubuskie","miasto_inne",-12.13
"Grabów nad Prosną","wielkopolskie","miasto_inne",-12.13
"Chociwel","zachodniopomorskie","miasto_inne",-12.16
"Warka","mazowieckie","miasto_inne",-12.17
"Skoczów","śląskie","miasto_inne",-12.25
"Suchowola","podlaskie","miasto_inne",-12.31
"Blachownia","śląskie","miasto_inne",-12.31
"Skalbmierz","świętokrzyskie","miasto_inne",-12.32
"Gniewkowo","kujawsko-pomorskie","miasto_inne",-12.36
"Czarna Białostocka","podlaskie","miasto_inne",-12.39
"Annopol","lubelskie","miasto_inne",-12.43
"Nowa Dęba","podkarpackie","miasto_inne",-12.43
"Kowary","dolnośląskie","miasto_inne",-12.44
"Międzyrzec Podlaski","lubelskie","miasto_inne",-12.44
"Puszczykowo","wielkopolskie","miasto_inne",-12.47
"Kalwaria Zebrzydowska","małopolskie","miasto_inne",-12.49
"Czarne","pomorskie","miasto_inne",-12.49
"Morawica","świętokrzyskie","miasto_inne",-12.56
"Orzysz","warmińsko-mazurskie","miasto_inne",-12.57
"Kowal","kujawsko-pomorskie","miasto_inne",-12.59
"Jelcz-Laskowice","dolnośląskie","miasto_inne",-12.66
"Luboń","wielkopolskie","miasto_inne",-12.69
"Góra Kalwaria","mazowieckie","miasto_inne",-12.75
"Gąbin","mazowieckie","miasto_inne",-12.75
"Barlinek","zachodniopomorskie","miasto_inne",-12.84
"Ozorków","łódzkie","miasto_inne",-12.88
"Błażowa","podkarpackie","miasto_inne",-12.95
"Czerniejewo","wielkopolskie","miasto_inne",-13.02
"Nekla","wielkopolskie","miasto_inne",-13.03
"Miejska Górka","wielkopolskie","miasto_inne",-13.04
"Sulmierzyce","wielkopolskie","miasto_inne",-13.05
"Mszana Dolna","małopolskie","miasto_inne",-13.07
"Czaplinek","zachodniopomorskie","miasto_inne",-13.14
"Koronowo","kujawsko-pomorskie","miasto_inne",-13.17
"Kietrz","opolskie","miasto_inne",-13.19
"Wronki","wielkopolskie","miasto_inne",-13.19
"Otmuchów","opolskie","miasto_inne",-13.21
"Jasień","lubuskie","miasto_inne",-13.25
"Szklarska Poręba","dolnośląskie","miasto_inne",-13.28
"Łaszczów","lubelskie","miasto_inne",-13.31
"Suchań","zachodniopomorskie","miasto_inne",-13.36
"Kałuszyn","mazowieckie","miasto_inne",-13.38
"Skała","małopolskie","miasto_inne",-13.39
"Kalisz Pomorski","zachodniopomorskie","miasto_inne",-13.42
"Poręba","śląskie","miasto_inne",-13.43
"Wąchock","świętokrzyskie","miasto_inne",-13.43
"Jedlina-Zdrój","dolnośląskie","miasto_inne",-13.47
"Mikołajki","warmińsko-mazurskie","miasto_inne",-13.5
"Woźniki","śląskie","miasto_inne",-13.51
"Oborniki Śląskie","dolnośląskie","miasto_inne",-13.6
"Piaski","lubelskie","miasto_inne",-13.73
"Sokołów Małopolski","podkarpackie","miasto_inne",-13.75
"Czerwieńsk","lubuskie","miasto_inne",-13.82
"Tyszowce","lubelskie","miasto_inne",-13.88
"Więcbork","kujawsko-pomorskie","miasto_inne",-13.89
"Witkowo","wielkopolskie","miasto_inne",-13.89
"Stawiski","podlaskie","miasto_inne",-13.93
"Kostrzyn nad Odrą","lubuskie","miasto_inne",-14.31
"Gołańcz","wielkopolskie","miasto_inne",-14.33
"Bisztynek","warmińsko-mazurskie","miasto_inne",-14.35
"Kalety","śląskie","miasto_inne",-14.48
"Dobrzyca","wielkopolskie","miasto_inne",-14.48
"Skaryszew","mazowieckie","miasto_inne",-14.54
"Niemodlin","opolskie","miasto_inne",-14.58
"Pniewy","wielkopolskie","miasto_inne",-14.61
"Baranów Sandomierski","podkarpackie","miasto_inne",-14.62
"Kudowa-Zdrój","dolnośląskie","miasto_inne",-14.74
"Sulechów","lubuskie","miasto_inne",-14.85
"Pasłęk","warmińsko-mazurskie","miasto_inne",-14.91
"Rajgród","podlaskie","miasto_inne",-14.97
"Węgorzyno","zachodniopomorskie","miasto_inne",-15.03
"Stawiszyn","wielkopolskie","miasto_inne",-15.06
"Nowogrodziec","dolnośląskie","miasto_inne",-15.09
"Biecz","małopolskie","miasto_inne",-15.1
"Ustka","pomorskie","miasto_inne",-15.21
"Tarnogród","lubelskie","miasto_inne",-15.24
