"nazwa","wojewodztwo","jednostka","wskaznik"
"czarnkowsko-trzcianecki","wielkopolskie","powiat",-2.5
"sulęciński","lubuskie","powiat",-2.52
"zgorzelecki","dolnośląskie","powiat",-2.55
"mogileński","kujawsko-pomorskie","powiat",-2.6
"brzeziński","łódzkie","powiat",-2.64
"sierpecki","mazowieckie","powiat",-2.66
"konecki","świętokrzyskie","powiat",-2.71
"bielski","podlaskie","powiat",-2.73
"wieruszowski","łódzkie","powiat",-2.74
"pszczyński","śląskie","powiat",-2.74
"bocheński","małopolskie","powiat",-2.81
"lubliniecki","śląskie","powiat",-2.86
"lwówecki","dolnośląskie","powiat",-2.97
"opolski","opolskie","powiat",-3.02
"rawski","łódzkie","powiat",-3.05
"gnieźnieński","wielkopolskie","powiat",-3.07
"mrągowski","warmińsko-mazurskie","powiat",-3.18
"strzelecki","opolskie","powiat",-3.2
"wołomiński","mazowieckie","powiat",-3.21
"hrubieszowski","lubelskie","powiat",-3.27
"toruński","kujawsko-pomorskie","powiat",-3.28
"bydgoski","kujawsko-pomorskie","powiat",-3.34
"suwalski","podlaskie","powiat",-3.34
"łosicki","mazowieckie","powiat",-3.41
"puławski","lubelskie","powiat",-3.46
"radomszczański","łódzkie","powiat",-3.48
"zamojski","lubelskie","powiat",-3.52
"zwoleński","mazowieckie","powiat",-3.52
"augustowski","podlaskie","powiat",-3.52
"grajewski","podlaskie","powiat",-3.57
"bieruńsko-lędziński","śląskie","powiat",-3.58
"tarnobrzeski","podkarpackie","powiat",-3.67
"nowotarski","małopolskie","powiat",-3.7
"lipski","mazowieckie","powiat",-3.73
"bielski","śląskie","powiat",-3.74
"świdwiński","zachodniopomorskie","powiat",-3.75
"lubartowski","lubelskie","powiat",-3.99
"pruszkowski","mazowieckie","powiat",-4.02
"jasielski","podkarpackie","powiat",-4.02
"makowski","mazowieckie","powiat",-4.05
"nowomiejski","warmińsko-mazurskie","powiat",-4.07
"radziejowski","kujawsko-pomorskie","powiat",-4.09
"iławski","warmińsko-mazurskie","powiat",-4.18
"sępoleński","kujawsko-pomorskie","powiat",-4.2
"braniewski","warmińsko-mazurskie","powiat",-4.2
"wschowski","lubuskie","powiat",-4.24
"krotoszyński","wielkopolskie","powiat",-4.31
"lęborski","pomorskie","powiat",-4.37
"choszczeński","zachodniopomorskie","powiat",-4.38
"wielicki","małopolskie","powiat",-4.41
"górowski","dolnośląskie","powiat",-4.66
"raciborski","śląskie","powiat",-4.67
"koszaliński","zachodniopomorskie","powiat",-4.68
"kraśnicki","lubelskie","powiat",-4.71
"kozienicki","mazowieckie","powiat",-4.73
"kłobucki","śląskie","powiat",-4.81
"łobeski","zachodniopomorskie","powiat",-4.82
"janowski","lubelskie","powiat",-4.85
"zgierski","łódzkie","powiat",-4.99
"jędrzejowski","świętokrzyskie","powiat",-5.02
"kępiński","wielkopolskie","powiat",-5.06
"kętrzyński","warmińsko-mazurskie","powiat",-5.09
"chodzieski","wielkopolskie","powiat",-5.12
"żagański","lubuskie","powiat",-5.37
"łódzki wschodni","łódzkie","powiat",-5.43
"piaseczyński","mazowieckie","powiat",-5.44
"oleśnicki","dolnośląskie","powiat",-5.45
"głogowski","dolnośląskie","powiat",-5.51
"sanocki","podkarpackie","powiat",-5.51
"węgrowski","mazowieckie","powiat",-5.73
"gryficki","zachodniopomorskie","powiat",-5.74
"rypiński","kujawsko-pomorskie","powiat",-5.76
"aleksandrowski","kujawsko-pomorskie","powiat",-5.79
"kutnowski","łódzkie","powiat",-5.79
"lubaczowski","podkarpackie","powiat",-5.89
"sochaczewski","mazowieckie","powiat",-5.95
"dzierżoniowski","dolnośląskie","powiat",-5.96
"nakielski","kujawsko-pomorskie","powiat",-6.21
"kolbuszowski","podkarpackie","powiat",-6.23
"ostrzeszowski","wielkopolskie","powiat",-6.62
"kłodzki","dolnośląskie","powiat",-6.7
"mielecki","podkarpackie","powiat",-6.77
"radzyński","lubelskie","powiat",-6.84
"cieszyński","śląskie","powiat",-6.89
"wolsztyński","wielkopolskie","powiat",-6.91
"przysuski","mazowieckie","powiat",-6.95
"tarnogórski","śląskie","powiat",-6.97
"gryfiński","zachodniopomorskie","powiat",-6.99
"turecki","wielkopolskie","powiat",-7.04
"sejneński","podlaskie","powiat",-7.08
"poznański","wielkopolskie","powiat",-7.08
"trzebnicki","dolnośląskie","powiat",-7.09
"kaliski","wielkopolskie","powiat",-7.16
"łęczycki","łódzkie","powiat",-7.37
"grodziski","mazowieckie","powiat",-7.44
"nowodworski","pomorskie","powiat",-7.53
"mikołowski","śląskie","powiat",-7.72
"niżański","podkarpackie","powiat",-7.77
"siedlecki","mazowieckie","powiat",-7.85
"biłgorajski","lubelskie","powiat",-7.91
"wągrowiecki","wielkopolskie","powiat",-7.92
"strzyżowski","podkarpackie","powiat",-8
"ząbkowicki","dolnośląskie","powiat",-8.01
"żywiecki","śląskie","powiat",-8.05
"nowodworski","mazowieckie","powiat",-8.27
"pyrzycki","zachodniopomorskie","powiat",-8.29
"tomaszowski","lubelskie","powiat",-8.32
"ostródzki","warmińsko-mazurskie","powiat",-8.54
"wysokomazowiecki","podlaskie","powiat",-8.6
"lipnowski","kujawsko-pomorskie","powiat",-8.63
"proszowicki","małopolskie","powiat",-8.69
"średzki","dolnośląskie","powiat",-8.7
"przeworski","podkarpackie","powiat",-8.7
"słupski","pomorskie","powiat",-8.73
"myszkowski","śląskie","powiat",-8.75
"pucki","pomorskie","powiat",-8.92
"myśliborski","zachodniopomorskie","powiat",-8.95
"nidzicki","warmińsko-mazurskie","powiat",-8.96
"świdnicki","dolnośląskie","powiat",-9.06
"policki","zachodniopomorskie","powiat",-9.06
"strzeliński","dolnośląskie","powiat",-9.08
"chełmiński","kujawsko-pomorskie","powiat",-9.09
"warszawski zachodni","mazowieckie","powiat",-9.13
"zambrowski","podlaskie","powiat",-9.22
"kwidzyński","pomorskie","powiat",-9.24
"zielonogórski","lubuskie","powiat",-9.26
"tatrzański","małopolskie","powiat",-9.43
"żarski","lubuskie","powiat",-9.47
"olsztyński","warmińsko-mazurskie","powiat",-9.64
"tomaszowski","łódzkie","powiat",-9.71
"rawicki","wielkopolskie","powiat",-9.81
"węgorzewski","warmińsko-mazurskie","powiat",-10.25
"krakowski","małopolskie","powiat",-10.58
"koniński","wielkopolskie","powiat",-10.58
"golubsko-dobrzyński","kujawsko-pomorskie","powiat",-10.64
"jaworski","dolnośląskie","powiat",-10.7
"grójecki","mazowieckie","powiat",-10.93
"krośnieński","lubuskie","powiat",-11.09
"legnicki","dolnośląskie","powiat",-11.15
"kościański","wielkopolskie","powiat",-11.15
"kielecki","świętokrzyskie","powiat",-11.26
"skierniewicki","łódzkie","powiat",-11.3
"hajnowski","podlaskie","powiat",-11.3
"chojnicki","pomorskie","powiat",-11.36
"bolesławiecki","dolnośląskie","powiat",-11.61
"pułtuski","mazowieckie","powiat",-11.67
"wrzesiński","wielkopolskie","powiat",-11.67
"gostyński","wielkopolskie","powiat",-11.69
"malborski","pomorskie","powiat",-11.73
"kołobrzeski","zachodniopomorskie","powiat",-11.85
"stargardzki","zachodniopomorskie","powiat",-11.9
"kartuski","pomorskie","powiat",-12.08
"ełcki","warmińsko-mazurskie","powiat",-12.09
"staszowski","świętokrzyskie","powiat",-12.47
"białogardzki","zachodniopomorskie","powiat",-12.6
"inowrocławski","kujawsko-pomorskie","powiat",-12.89
"strzelecko-drezdenecki","lubuskie","powiat",-13.01
"przemyski","podkarpackie","powiat",-13.26
"częstochowski","śląskie","powiat",-13.81
"wałecki","zachodniopomorskie","powiat",-15.03
"wrocławski","dolnośląskie","powiat",-15.12
"elbląski","warmińsko-mazurskie","powiat",-15.32
"świebodziński","lubuskie","powiat",-15.82
"kolneński","podlaskie","powiat",-15.87
"kamieński","zachodniopomorskie","powiat",-16.2
"poddębicki","łódzkie","powiat",-16.71
"otwocki","mazowieckie","powiat",-17.46
"łaski","łódzkie","powiat",-19.85
"kościerski","pomorskie","powiat",-20.86
"olkuski","małopolskie","powiat",-21.87
"gostyniński","mazowieckie","powiat",-21.9
"tucholski","kujawsko-pomorskie","powiat",-23.92
"leski","podkarpackie","powiat",-36.56
"Łańcut","podkarpackie","miasto_powiatowe",21.16
"Nysa","opolskie","miasto_powiatowe",13.11
"Limanowa","małopolskie","miasto_powiatowe",12.74
"Lipsko","mazowieckie","miasto_powiatowe",11.09
"Nowy Dwór Mazowiecki","mazowieckie","miasto_powiatowe",9.27
"Świdnica","dolnośląskie","miasto_powiatowe",6.97
"Szamotuły","wielkopolskie","miasto_powiatowe",6.66
"Lębork","pomorskie","miasto_powiatowe",6.52
"Środa Śląska","dolnośląskie","miasto_powiatowe",6
"Stalowa Wola","podkarpackie","miasto_powiatowe",5.55
"Mielec","podkarpackie","miasto_powiatowe",5.08
"Piła","wielkopolskie","miasto_powiatowe",4.46
"Płońsk","mazowieckie","miasto_powiatowe",3.93
"Łosice","mazowieckie","miasto_powiatowe",3.74
"Sokółka","podlaskie","miasto_powiatowe",3.43
"Lubliniec","śląskie","miasto_powiatowe",3.25
"Namysłów","opolskie","miasto_powiatowe",2.51
"Krapkowice","opolskie","miasto_powiatowe",2.24
"Łęczna","lubelskie","miasto_powiatowe",1.93
"Zgorzelec","dolnośląskie","miasto_powiatowe",1.68
"Góra","dolnośląskie","miasto_powiatowe",1.66
"Wejherowo","pomorskie","miasto_powiatowe",1.65
"Oświęcim","małopolskie","miasto_powiatowe",1.54
"Wyszków","mazowieckie","miasto_powiatowe",1.29
"Ustrzyki Dolne","podkarpackie","miasto_powiatowe",1.1
"Białobrzegi","mazowieckie","miasto_powiatowe",0.33
"Garwolin","mazowieckie","miasto_powiatowe",0.32
"Nakło nad Notecią","kujawsko-pomorskie","miasto_powiatowe",0.28
"Kędzierzyn-Koźle","opolskie","miasto_powiatowe",0.14
"Polkowice","dolnośląskie","miasto_powiatowe",0
"Świdnik","lubelskie","miasto_powiatowe",0
"Sztum","pomorskie","miasto_powiatowe",0
"Dzierżoniów","dolnośląskie","miasto_powiatowe",-0.08
"Zambrów","podlaskie","miasto_powiatowe",-0.15
"Radziejów","kujawsko-pomorskie","miasto_powiatowe",-0.53
"Głogów","dolnośląskie","miasto_powiatowe",-1.07
"Wieluń","łódzkie","miasto_powiatowe",-1.08
"Środa Wielkopolska","wielkopolskie","miasto_powiatowe",-1.26
"Sokołów Podlaski","mazowieckie","miasto_powiatowe",-1.36
"Łowicz","łódzkie","miasto_powiatowe",-1.55
"Jasło","podkarpackie","miasto_powiatowe",-1.57
"Olesno","opolskie","miasto_powiatowe",-1.66
"Jarocin","wielkopolskie","miasto_powiatowe",-1.84
"Otwock","mazowieckie","miasto_powiatowe",-1.97
"Racibórz","śląskie","miasto_powiatowe",-2.09
"Lubań","dolnośląskie","miasto_powiatowe",-2.31
"Żywiec","śląskie","miasto_powiatowe",-2.37
"Mińsk Mazowiecki","mazowieckie","miasto_powiatowe",-2.52
"Kwidzyn","pomorskie","miasto_powiatowe",-2.83
"Kozienice","mazowieckie","miasto_powiatowe",-2.86
"Lubaczów","podkarpackie","miasto_powiatowe",-3
"Sandomierz","świętokrzyskie","miasto_powiatowe",-3.07
"Kutno","łódzkie","miasto_powiatowe",-3.24
"Białogard","zachodniopomorskie","miasto_powiatowe",-3.28
"Wołów","dolnośląskie","miasto_powiatowe",-3.3
"Radomsko","łódzkie","miasto_powiatowe",-3.4
"Gorlice","małopolskie","miasto_powiatowe",-3.5
"Opole Lubelskie","lubelskie","miasto_powiatowe",-3.51
"Zwoleń","mazowieckie","miasto_powiatowe",-3.55
"Wysokie Mazowieckie","podlaskie","miasto_powiatowe",-3.56
"Działdowo","warmińsko-mazurskie","miasto_powiatowe",-3.57
"Busko-Zdrój","świętokrzyskie","miasto_powiatowe",-3.72
"Kluczbork","opolskie","miasto_powiatowe",-3.89
"Rypin","kujawsko-pomorskie","miasto_powiatowe",-4.06
"Nisko","podkarpackie","miasto_powiatowe",-4.08
"Sucha Beskidzka","małopolskie","miasto_powiatowe",-4.13
"Kościan","wielkopolskie","miasto_powiatowe",-4.69
"Dąbrowa Tarnowska","małopolskie","miasto_powiatowe",-4.75
"Wołomin","mazowieckie","miasto_powiatowe",-4.85
"Lubin","dolnośląskie","miasto_powiatowe",-4.9
"Wadowice","małopolskie","miasto_powiatowe",-4.93
"Sępólno Krajeńskie","kujawsko-pomorskie","miasto_powiatowe",-4.96
"Tarnowskie Góry","śląskie","miasto_powiatowe",-5.28
"Biłgoraj","lubelskie","miasto_powiatowe",-5.35
"Żary","lubuskie","miasto_powiatowe",-5.35
"Świebodzin","lubuskie","miasto_powiatowe",-5.4
"Myszków","śląskie","miasto_powiatowe",-5.4
"Zakopane","małopolskie","miasto_powiatowe",-5.47
"Nidzica","warmińsko-mazurskie","miasto_powiatowe",-5.51
"Krasnystaw","lubelskie","miasto_powiatowe",-5.55
"Pabianice","łódzkie","miasto_powiatowe",-5.64
"Nowe Miasto Lubawskie","warmińsko-mazurskie","miasto_powiatowe",-5.69
"Ostrów Mazowiecka","mazowieckie","miasto_powiatowe",-5.7
"Chełmno","kujawsko-pomorskie","miasto_powiatowe",-5.76
"Świecie","kujawsko-pomorskie","miasto_powiatowe",-5.79
"Sławno","zachodniopomorskie","miasto_powiatowe",-5.88
"Gniezno","wielkopolskie","miasto_powiatowe",-6.05
"Kępno","wielkopolskie","miasto_powiatowe",-6.34
"Strzelce Krajeńskie","lubuskie","miasto_powiatowe",-6.37
"Puck","pomorskie","miasto_powiatowe",-6.39
"Jarosław","podkarpackie","miasto_powiatowe",-6.4
"Lidzbark Warmiński","warmińsko-mazurskie","miasto_powiatowe",-6.65
"Strzelce Opolskie","opolskie","miasto_powiatowe",-6.7
"Opatów","świętokrzyskie","miasto_powiatowe",-6.77
"Zawiercie","śląskie","miasto_powiatowe",-6.78
"Pruszków","mazowieckie","miasto_powiatowe",-6.82
"Jędrzejów","świętokrzyskie","miasto_powiatowe",-6.93
"Pajęczno","łódzkie","miasto_powiatowe",-7.2
"Ropczyce","podkarpackie","miasto_powiatowe",-7.25
"Września","wielkopolskie","miasto_powiatowe",-7.33
"Szydłowiec","mazowieckie","miasto_powiatowe",-7.39
"Starachowice","świętokrzyskie","miasto_powiatowe",-7.52
"Świdwin","zachodniopomorskie","miasto_powiatowe",-7.59
"Chojnice","pomorskie","miasto_powiatowe",-7.75
"Szczytno","warmińsko-mazurskie","miasto_powiatowe",-8
"Pułtusk","mazowieckie","miasto_powiatowe",-8.08
"Międzyrzecz","lubuskie","miasto_powiatowe",-8.13
"Ciechanów","mazowieckie","miasto_powiatowe",-8.17
"Oława","dolnośląskie","miasto_powiatowe",-8.33
"Myślenice","małopolskie","miasto_powiatowe",-8.36
"Czarnków","wielkopolskie","miasto_powiatowe",-8.45
"Wolsztyn","wielkopolskie","miasto_powiatowe",-8.46
"Żnin","kujawsko-pomorskie","miasto_powiatowe",-8.5
"Parczew","lubelskie","miasto_powiatowe",-8.51
"Kolno","podlaskie","miasto_powiatowe",-8.52
"Ostrów Wielkopolski","wielkopolskie","miasto_powiatowe",-8.58
"Augustów","podlaskie","miasto_powiatowe",-8.88
"Żagań","lubuskie","miasto_powiatowe",-9
"Gostynin","mazowieckie","miasto_powiatowe",-9.06
"Sierpc","mazowieckie","miasto_powiatowe",-9.13
"Głubczyce","opolskie","miasto_powiatowe",-9.32
"Proszowice","małopolskie","miasto_powiatowe",-9.43
"Sieradz","łódzkie","miasto_powiatowe",-9.61
"Żuromin","mazowieckie","miasto_powiatowe",-9.71
"Kłobuck","śląskie","miasto_powiatowe",-9.84
"Lubartów","lubelskie","miasto_powiatowe",-9.85
"Łobez","zachodniopomorskie","miasto_powiatowe",-9.87
"Siemiatycze","podlaskie","miasto_powiatowe",-9.88
